"Date"﻿,"Annual change in house price, London (LHS)","Annual change in house price, United Kingdom (LHS)","Annual change in rents, London (RHS)","Annual change in rents, United Kingdom (RHS)"
01/01/2010,10.5%,6.5%,-1.0%,
01/02/2010,11.6%,8.0%,-1.3%,
01/03/2010,13.4%,8.7%,-1.3%,
01/04/2010,14.9%,9.1%,-1.6%,
01/05/2010,12.7%,8.1%,-1.4%,
01/06/2010,12.2%,7.6%,-1.4%,
01/07/2010,12.7%,6.8%,-1.0%,
01/08/2010,10.9%,5.7%,-0.7%,
01/09/2010,8.4%,4.6%,-0.4%,
01/10/2010,6.5%,2.8%,0.2%,
01/11/2010,5.8%,1.2%,0.7%,
01/12/2010,5.6%,0.4%,1.3%,
01/01/2011,3.0%,-0.1%,2.0%,
01/02/2011,2.3%,-0.9%,2.3%,
01/03/2011,2.4%,-1.3%,2.7%,
01/04/2011,4.3%,-1.1%,3.2%,
01/05/2011,1.1%,-2.0%,3.4%,
01/06/2011,0.5%,-2.3%,3.7%,
01/07/2011,1.0%,-2.1%,3.9%,
01/08/2011,1.5%,-2.0%,4.2%,
01/09/2011,1.8%,-2.0%,4.4%,
01/10/2011,2.1%,-2.0%,4.6%,
01/11/2011,3.1%,-0.7%,4.7%,
01/12/2011,2.4%,-1.0%,4.9%,
01/01/2012,2.2%,-0.8%,4.9%,
01/02/2012,2.5%,-0.6%,4.9%,
01/03/2012,1.1%,0.2%,4.9%,
01/04/2012,1.7%,-0.2%,5.2%,
01/05/2012,6.8%,0.6%,5.2%,
01/06/2012,7.3%,1.4%,5.3%,
01/07/2012,4.4%,0.5%,5.3%,
01/08/2012,5.1%,0.5%,5.1%,
01/09/2012,4.4%,0.4%,5.3%,
01/10/2012,6.2%,0.8%,5.2%,
01/11/2012,6.0%,0.9%,5.0%,
01/12/2012,7.3%,1.1%,4.8%,
01/01/2013,5.8%,1.1%,4.6%,
01/02/2013,7.2%,1.3%,4.5%,
01/03/2013,7.5%,1.6%,4.5%,
01/04/2013,7.3%,1.5%,4.2%,
01/05/2013,6.0%,1.7%,4.2%,
01/06/2013,5.8%,1.5%,4.1%,
01/07/2013,7.8%,2.3%,4.0%,
01/08/2013,8.3%,3.0%,4.0%,
01/09/2013,10.4%,3.4%,3.5%,
01/10/2013,9.6%,3.7%,3.3%,
01/11/2013,11.4%,4.2%,3.4%,
01/12/2013,12.2%,5.4%,3.0%,
01/01/2014,14.3%,6.2%,2.8%,
01/02/2014,14.1%,6.7%,2.5%,
01/03/2014,15.7%,6.4%,2.5%,
